30,3,9
30,6,9
29,8,9
28,11,9
27,14,9
29,19,9
27,22,9
24,24,9
22,27,9
19,29,9
16,30,9
13,32,9
10,33,9
6,34,9
3,34,9
0,35,9
-3,34,9
-6,34,9
-10,33,9
-13,32,9
-17,33,9
-21,31,9
-24,29,9
-26,26,9
-29,24,9
-25,17,9
-27,14,9
-28,11,9
-29,8,9
-30,6,9
-28,2,9
-29,0,9
-28,-2,9
-28,-5,9
-27,-8,9
-26,-11,9
-25,-13,9
-24,-16,9
-22,-18,9
-20,-20,9
-18,-22,9
-16,-24,9
-13,-25,9
-11,-26,9
-8,-27,9
-5,-27,9
-2,-27,9
0,-28,9
2,-27,9
5,-27,9
8,-28,9
11,-27,9
14,-26,9
16,-24,9
19,-23,9
21,-21,9
23,-19,9
25,-17,9
27,-14,9
28,-11,9
31,-9,9
32,-6,9
32,-3,9
33,0,9
33,3,12
33,6,12
32,9,12
31,13,12
29,16,12
30,20,12
28,23,12
26,26,12
23,28,12
20,30,12
16,31,12
13,33,12
10,34,12
7,35,12
3,35,12
0,38,12
-3,37,12
-7,37,12
-11,36,12
-14,35,12
-18,35,12
-22,33,12
-25,30,12
-28,28,12
-30,25,12
-28,18,12
-29,16,12
-31,13,12
-32,9,12
-33,6,12
-31,3,12
-32,0,12
-31,-3,12
-31,-6,12
-30,-9,12
-27,-11,12
-26,-14,12
-24,-16,12
-23,-19,12
-21,-21,12
-18,-22,12
-16,-24,12
-13,-25,12
-11,-26,12
-8,-27,12
-5,-29,12
-2,-29,12
0,-30,12
2,-29,12
5,-29,12
9,-30,12
12,-29,12
15,-28,12
17,-26,12
20,-24,12
24,-24,12
26,-21,12
28,-18,12
29,-16,12
31,-13,12
33,-10,12
34,-6,12
34,-3,12
35,0,12
34,3,15
34,6,15
33,10,15
32,13,15
30,16,15
32,21,15
30,24,15
27,27,15
24,30,15
21,32,15
18,34,15
14,36,15
11,37,15
7,38,15
3,38,15
0,40,15
-3,39,15
-7,39,15
-11,38,15
-15,36,15
-19,37,15
-23,34,15
-26,32,15
-29,29,15
-32,26,15
-29,19,15
-30,16,15
-32,13,15
-33,10,15
-34,6,15
-33,3,15
-34,0,15
-33,-3,15
-33,-6,15
-32,-9,15
-30,-12,15
-29,-15,15
-27,-18,15
-25,-20,15
-23,-23,15
-20,-24,15
-17,-26,15
-15,-28,15
-12,-29,15
-9,-30,15
-6,-31,15
-3,-31,15
0,-32,15
3,-31,15
6,-31,15
9,-31,15
12,-30,15
15,-29,15
18,-27,15
20,-25,15
24,-24,15
27,-22,15
29,-19,15
30,-16,15
32,-13,15
34,-10,15
35,-7,15
35,-3,15
36,0,15
35,3,18
35,7,18
34,10,18
33,13,18
31,16,18
33,22,18
30,25,18
28,28,18
25,30,18
22,33,18
19,36,18
15,37,18
11,39,18
7,40,18
4,40,18
0,42,18
-4,41,18
-8,41,18
-12,40,18
-16,38,18
-20,38,18
-24,36,18
-27,34,18
-31,31,18
-34,27,18
-29,20,18
-31,16,18
-33,13,18
-34,10,18
-35,7,18
-35,3,18
-36,0,18
-35,-3,18
-35,-7,18
-34,-10,18
-30,-12,18
-29,-15,18
-27,-18,18
-25,-20,18
-23,-23,18
-20,-25,18
-18,-27,18
-15,-29,18
-12,-30,18
-9,-31,18
-6,-33,18
-3,-33,18
0,-34,18
3,-33,18
6,-33,18
10,-33,18
13,-32,18
16,-30,18
19,-29,18
22,-27,18
26,-26,18
28,-23,18
30,-20,18
32,-17,18
34,-14,18
35,-10,18
36,-7,18
36,-3,18
37,0,18
38,3,21
38,7,21
37,11,21
36,14,21
34,18,21
34,23,21
32,26,21
29,29,21
26,32,21
23,34,21
19,37,21
16,38,21
12,40,21
8,41,21
4,41,21
0,43,21
-4,42,21
-8,42,21
-12,41,21
-16,39,21
-21,39,21
-25,37,21
-28,34,21
-31,31,21
-34,28,21
-30,20,21
-32,17,21
-34,14,21
-35,10,21
-36,7,21
-37,3,21
-38,0,21
-37,-3,21
-37,-7,21
-36,-11,21
-33,-13,21
-31,-16,21
-29,-20,21
-27,-22,21
-25,-25,21
-22,-27,21
-20,-29,21
-16,-31,21
-13,-33,21
-10,-34,21
-6,-33,21
-3,-33,21
0,-34,21
3,-33,21
6,-33,21
10,-34,21
13,-33,21
16,-31,21
20,-29,21
22,-27,21
25,-25,21
27,-22,21
29,-20,21
31,-16,21
33,-13,21
39,-11,21
40,-7,21
40,-4,21
41,0,21
39,3,24
39,7,24
38,11,24
36,15,24
35,18,24
37,25,24
34,28,24
31,31,24
28,34,24
25,37,24
20,37,24
16,39,24
12,41,24
8,42,24
4,42,24
0,43,24
-4,42,24
-8,42,24
-12,41,24
-16,39,24
-22,41,24
-26,39,24
-29,36,24
-33,33,24
-36,29,24
-33,22,24
-35,18,24
-36,15,24
-38,11,24
-39,7,24
-36,3,24
-37,0,24
-36,-3,24
-36,-7,24
-35,-10,24
-34,-14,24
-32,-17,24
-30,-20,24
-28,-23,24
-26,-26,24
-23,-28,24
-20,-30,24
-17,-32,24
-14,-34,24
-10,-35,24
-7,-36,24
-3,-36,24
0,-37,24
3,-36,24
7,-36,24
11,-36,24
14,-35,24
17,-33,24
21,-31,24
24,-29,24
28,-28,24
30,-25,24
33,-22,24
35,-18,24
36,-15,24
37,-11,24
38,-7,24
38,-3,24
39,0,24
41,4,27
41,8,27
40,12,27
38,16,27
37,19,27
37,25,27
34,28,27
31,31,27
28,34,27
25,37,27
21,39,27
17,41,27
13,43,27
8,44,27
4,44,27
0,46,27
-4,45,27
-8,45,27
-13,44,27
-17,42,27
-23,43,27
-27,40,27
-31,37,27
-34,34,27
-37,31,27
-34,23,27
-37,19,27
-38,16,27
-40,12,27
-41,8,27
-38,3,27
-39,0,27
-38,-3,27
-38,-7,27
-37,-11,27
-34,-14,27
-32,-17,27
-30,-20,27
-28,-23,27
-26,-26,27
-22,-27,27
-20,-29,27
-16,-31,27
-13,-33,27
-10,-34,27
-7,-37,27
-3,-37,27
0,-38,27
3,-37,27
7,-37,27
11,-37,27
14,-36,27
18,-34,27
21,-32,27
24,-30,27
28,-28,27
31,-26,27
34,-22,27
36,-19,27
37,-15,27
40,-12,27
41,-8,27
41,-4,27
42,0,27
42,4,30
42,8,30
41,12,30
39,16,30
37,20,30
38,25,30
35,29,30
32,32,30
29,35,30
25,38,30
21,39,30
17,41,30
13,43,30
8,44,30
4,44,30
0,47,30
-4,46,30
-9,46,30
-13,44,30
-17,43,30
-22,42,30
-26,39,30
-30,37,30
-33,33,30
-37,30,30
-34,23,30
-37,19,30
-38,16,30
-40,12,30
-41,8,30
-38,3,30
-39,0,30
-38,-3,30
-38,-7,30
-37,-11,30
-35,-14,30
-33,-17,30
-31,-21,30
-29,-24,30
-26,-26,30
-24,-29,30
-21,-31,30
-17,-33,30
-14,-35,30
-11,-36,30
-7,-38,30
-3,-38,30
0,-39,30
3,-38,30
7,-38,30
11,-36,30
14,-35,30
17,-33,30
21,-31,30
24,-29,30
28,-28,30
31,-26,30
34,-22,30
36,-19,30
37,-15,30
41,-12,30
42,-8,30
42,-4,30
43,0,30
43,4,33
43,8,33
42,12,33
40,16,33
38,20,33
38,25,33
35,29,33
32,32,33
29,35,33
25,38,33
20,38,33
16,40,33
12,42,33
